PedidoID,Cliente,DireccionEnvio,CategoriaProducto,CantidadArticulos,PrecioUnitario,MetodoPago,TiempoEntregaDias,ComentarioCliente
38,Laura Ortiz,"Calle Beller #45, Los Prados",3,3,22.04,Transferencia,3.0,
42,Luis Castillo,"Avenida 27 de Febrero #6, Evaristo Morales",2,4,71.95,Transferencia,,
7,Joel Diaz,"Avenida Tiradentes #43, Naco",2,4,83.32,Tarjeta,4.0,
61,Rafael Cruz,"Avenida 27 de Febrero #129, Naco",1,3,81.91,Efectivo,1.0,
3,Hector Mejia,"Calle Duarte #64, Los Prados",1,3,118.18,Efectivo,6.0,
6,Julio Reyes,"Calle Socorro Sanchez #117, Gazcue",2,5,53.39,Efectivo,7.0,
44,Yolanda Gomez,"Calle Pasteur #175, Los Prados",1,2,37.03,Efectivo,5.0,
31,Laura Estrella,"Calle Beller #96, Evaristo Morales",3,2,29.56,Transferencia,3.0,Buen servicio
35,Sofia Pena,"Avenida Independencia #9, Los Prados",1,5,148.15,Transferencia,,
69,Rafael Ortiz,"Avenida Tiradentes #128, Naco",2,3,43.69,Tarjeta,3.0,
28,Gabriela Fernandez,"Avenida Winston Churchill #106, Evaristo Morales",3,1,135.21,Efectivo,4.0,
70,Ramfis Sanchez,"Calle Privada #123, Evaristo Morales",1,3,137.55,Tarjeta,,
9,Rosa Ortiz,"Avenida 27 de Febrero #147, Piantini",2,5,116.35,Efectivo,3.0,
30,Ricardo Lopez,"Calle Privada #34, Gazcue",1,2,149.74,Tarjeta,,
33,Gabriela Santana,"Calle Privada #114, Bella Vista",2,3,62.56,Efectivo,2.0,Buen servicio
29,Gabriela Rodriguez,"Calle Socorro Sanchez #68, Piantini",1,3,132.53,Efectivo,2.0,
63,Genesis Cruz,"Calle Duarte #196, Los Prados",1,2,141.43,Efectivo,5.0,Producto como se describe
48,Marisol Reyes,"Avenida Lincoln #105, Evaristo Morales",3,3,116.99,Transferencia,6.0,
5,Fernanda Mejia,"Calle Privada #118, Piantini",1,1,118.38,Transferencia,1.0,
16,Laura Garcia,"Avenida Winston Churchill #55, Bella Vista",2,4,17.57,Tarjeta,5.0,Empaque dañado
52,Valentina Jimenez,"Calle Privada #100, Evaristo Morales",2,2,125.06,Tarjeta,3.0,
2,Gabriela Sanchez,"Calle Pasteur #144, Gazcue",3,1,74.89,Efectivo,5.0,
56,Rafael Diaz,"Avenida 27 de Febrero #54, Evaristo Morales",1,4,104.28,Tarjeta,,
60,Camila Estrella,"Calle Duarte #188, Piantini",1,2,142.69,Tarjeta,7.0,
22,Yolanda Jimenez,"Avenida Tiradentes #12, Bella Vista",3,3,85.76,Tarjeta,1.0,
37,Marisol Castillo,"Avenida Lincoln #35, Los Prados",3,3,37.65,Tarjeta,3.0,Buen servicio
15,Anabel Fernandez,"Calle Socorro Sanchez #101, Piantini",3,3,147.95,Efectivo,6.0,Entrega tardia
26,Yokasta Rodriguez,"Calle Beller #136, Los Prados",2,1,121.8,Efectivo,,
49,Anabel Diaz,"Avenida Tiradentes #173, Bella Vista",2,5,39.07,Tarjeta,5.0,
57,Wilson Jimenez,"Avenida Winston Churchill #87, Evaristo Morales",2,4,10.39,Tarjeta,4.0,
50,Patricia Ortiz,"Avenida Lincoln #87, Piantini",1,3,52.03,Tarjeta,,Excelente atencion
1,Luis Garcia,"Avenida Lincoln #187, Piantini",2,1,148.22,Efectivo,,
27,Ana Rodriguez,"Calle Duarte #177, Evaristo Morales",1,5,112.2,Tarjeta,4.0,Empaque dañado
55,Ramon Martinez,"Calle Beller #172, Evaristo Morales",3,4,41.64,Tarjeta,6.0,
51,Esperanza Sanchez,"Avenida Tiradentes #164, Los Prados",3,4,15.21,Tarjeta,21.0,
18,Gabriela Vargas,"Calle Duarte #177, Naco",1,2,15.57,Transferencia,2.0,
31,Laura Estrella,"Calle Beller #96, Evaristo Morales",3,2,29.56,Transferencia,3.0,Buen servicio
47,Rafael Pena,"Avenida 27 de Febrero #17, Los Prados",2,1,58.41,Efectivo,1.0,
4,Yolanda Reyes,"Calle Privada #134, Gazcue",1,4,110.82,Transferencia,6.0,
11,Juan De los Santos,"Avenida Independencia #32, Naco",1,2,81.28,Tarjeta,3.0,
19,Maria Perez,"Avenida Tiradentes #47, Naco",3,5,63.15,Tarjeta,1.0,Empaque dañado
65,Esperanza Ortiz,"Avenida Independencia #38, Evaristo Morales",2,1,135.22,Tarjeta,,
64,Yolanda Fernandez,"Calle Privada #82, Gazcue",1,2,65.22,Efectivo,,
10,Carlos Castillo,"Avenida Tiradentes #14, Evaristo Morales",1,2,5.24,Tarjeta,3.0,Buen servicio
24,Rosa Perez,"Avenida Lincoln #157, Gazcue",2,2,100.67,Tarjeta,6.0,
20,Francisco Ortiz,"Calle Duarte #177, Gazcue",3,1,78.08,Tarjeta,1.0,
41,Yokasta Vargas,"Calle Pasteur #19, Evaristo Morales",1,5,132.57,Efectivo,1.0,
25,Patricia Fernandez,"Avenida Independencia #62, Bella Vista",2,1,134.42,,30.0,
33,Gabriela Santana,"Calle Privada #114, Bella Vista",2,3,62.56,Efectivo,2.0,Buen servicio
53,Carmen Fernandez,"Calle Pasteur #129, Los Prados",1,5,77.35,Efectivo,1.0,
39,Ana Mejia,"Avenida Independencia #19, Naco",1,5,106.84,Efectivo,7.0,
66,Sofia Diaz,"Calle Pasteur #92, Gazcue",1,4,14.45,Tarjeta,2.0,
54,Marisol Perez,"Avenida Independencia #22, Bella Vista",2,1,94.71,Efectivo,3.0,
17,Ana Reyes,"Avenida 27 de Febrero #144, Naco",1,1,94.99,Tarjeta,4.0,Excelente atencion
23,Yokasta Perez,"Calle Privada #41, Los Prados",1,4,143.65,Efectivo,7.0,
12,Carmen Vargas,"Calle Privada #154, Piantini",2,5,8.31,Efectivo,5.0,Buen servicio
13,Carlos Martinez,"Avenida Independencia #83, Naco",1,2,47.95,Efectivo,25.0,Tardo mas de lo esperado
40,Manuel Pena,"Avenida Lincoln #179, Piantini",3,5,57.6,Efectivo,2.0,
59,Valentina Lopez,"Avenida Independencia #9, Los Prados",2,2,75.81,Tarjeta,,
45,Joel Garcia,"Calle Pasteur #195, Los Prados",1,1,114.11,Efectivo,5.0,
32,Yesenia Martinez,"Avenida Independencia #62, Los Prados",3,3,53.17,Tarjeta,7.0,Buen servicio
14,Laura Mejia,"Calle Beller #28, Los Prados",2,2,9.23,,3.0,
34,Antonio Garcia,"Calle Privada #125, Gazcue",1,1,126.13,Tarjeta,,
36,Francisco Ortiz,"Avenida Independencia #151, Naco",2,2,140.07,Tarjeta,7.0,Empaque dañado
46,Marisol Ortiz,"Calle Pasteur #89, Evaristo Morales",3,2,36.91,Tarjeta,,
43,Pedro Castillo,"Calle Pasteur #158, Naco",1,2,70.03,Transferencia,6.0,
15,Anabel Fernandez,"Calle Socorro Sanchez #101, Piantini",3,3,147.95,Efectivo,6.0,Entrega tardia
62,Hector Pena,"Calle Socorro Sanchez #13, Piantini",1,5,53.92,Efectivo,3.0,
68,Hector De los Santos,"Calle Socorro Sanchez #63, Los Prados",2,4,102.85,Tarjeta,5.0,Tardo mas de lo esperado
58,Marisol Diaz,"Calle Duarte #127, Piantini",1,5,40.42,Efectivo,2.0,
19,Maria Perez,"Avenida Tiradentes #47, Naco",3,5,63.15,Tarjeta,1.0,Empaque dañado
67,Mercedes Castillo,"Calle Duarte #85, Bella Vista",1,1,140.31,Efectivo,4.0,Producto como se describe
8,Luis Vargas,"Calle Duarte #96, Naco",2,3,53.46,Efectivo,5.0,
21,Hector Sanchez,"Avenida Lincoln #150, Naco",1,3,9.99,Efectivo,1.0,
