PedidoID,Cliente,DireccionEnvio,CategoriaProducto,CantidadArticulos,PrecioUnitario,MetodoPago,TiempoEntregaDias,MontoTotal,PedidosGrande,Sector,VelocidadEntrega
38,Laura Ortiz,"Calle Beller #45, Los Prados",3,3,22.04,Transferencia,3.0,66.12,0,Los Prados,Rapida
42,Luis Castillo,"Avenida 27 de Febrero #6, Evaristo Morales",2,4,71.95,Transferencia,4.0,287.8,1,Evaristo Morales,Rapida
7,Joel Diaz,"Avenida Tiradentes #43, Naco",2,4,83.32,Tarjeta,4.0,333.28,1,Naco,Rapida
61,Rafael Cruz,"Avenida 27 de Febrero #129, Naco",1,3,81.91,Efectivo,1.0,245.73,1,Naco,Rapida
3,Hector Mejia,"Calle Duarte #64, Los Prados",1,3,118.18,Efectivo,6.0,354.54,1,Los Prados,Normal
6,Julio Reyes,"Calle Socorro Sanchez #117, Gazcue",2,5,53.39,Efectivo,7.0,266.95,1,Gazcue,Normal
44,Yolanda Gomez,"Calle Pasteur #175, Los Prados",1,2,37.03,Efectivo,5.0,74.06,0,Los Prados,Rapida
31,Laura Estrella,"Calle Beller #96, Evaristo Morales",3,2,29.56,Transferencia,3.0,59.12,0,Evaristo Morales,Rapida
35,Sofia Pena,"Avenida Independencia #9, Los Prados",1,5,148.15,Transferencia,4.0,740.75,1,Los Prados,Rapida
69,Rafael Ortiz,"Avenida Tiradentes #128, Naco",2,3,43.69,Tarjeta,3.0,131.07,0,Naco,Rapida
28,Gabriela Fernandez,"Avenida Winston Churchill #106, Evaristo Morales",3,1,135.21,Efectivo,4.0,135.21,0,Evaristo Morales,Rapida
70,Ramfis Sanchez,"Calle Privada #123, Evaristo Morales",1,3,137.55,Tarjeta,4.0,412.65,1,Evaristo Morales,Rapida
9,Rosa Ortiz,"Avenida 27 de Febrero #147, Piantini",2,5,116.35,Efectivo,3.0,581.75,1,Piantini,Rapida
30,Ricardo Lopez,"Calle Privada #34, Gazcue",1,2,149.74,Tarjeta,4.0,299.48,1,Gazcue,Rapida
33,Gabriela Santana,"Calle Privada #114, Bella Vista",2,3,62.56,Efectivo,2.0,187.68,1,Bella Vista,Rapida
29,Gabriela Rodriguez,"Calle Socorro Sanchez #68, Piantini",1,3,132.53,Efectivo,2.0,397.59,1,Piantini,Rapida
63,Genesis Cruz,"Calle Duarte #196, Los Prados",1,2,141.43,Efectivo,5.0,282.86,1,Los Prados,Rapida
48,Marisol Reyes,"Avenida Lincoln #105, Evaristo Morales",3,3,116.99,Transferencia,6.0,350.97,1,Evaristo Morales,Normal
5,Fernanda Mejia,"Calle Privada #118, Piantini",1,1,118.38,Transferencia,1.0,118.38,0,Piantini,Rapida
16,Laura Garcia,"Avenida Winston Churchill #55, Bella Vista",2,4,17.57,Tarjeta,5.0,70.28,0,Bella Vista,Rapida
52,Valentina Jimenez,"Calle Privada #100, Evaristo Morales",2,2,125.06,Tarjeta,3.0,250.12,1,Evaristo Morales,Rapida
2,Gabriela Sanchez,"Calle Pasteur #144, Gazcue",3,1,74.89,Efectivo,5.0,74.89,0,Gazcue,Rapida
56,Rafael Diaz,"Avenida 27 de Febrero #54, Evaristo Morales",1,4,104.28,Tarjeta,4.0,417.12,1,Evaristo Morales,Rapida
60,Camila Estrella,"Calle Duarte #188, Piantini",1,2,142.69,Tarjeta,7.0,285.38,1,Piantini,Normal
22,Yolanda Jimenez,"Avenida Tiradentes #12, Bella Vista",3,3,85.76,Tarjeta,1.0,257.28,1,Bella Vista,Rapida
37,Marisol Castillo,"Avenida Lincoln #35, Los Prados",3,3,37.65,Tarjeta,3.0,112.95,0,Los Prados,Rapida
15,Anabel Fernandez,"Calle Socorro Sanchez #101, Piantini",3,3,147.95,Efectivo,6.0,443.85,1,Piantini,Normal
26,Yokasta Rodriguez,"Calle Beller #136, Los Prados",2,1,121.8,Efectivo,4.0,121.8,0,Los Prados,Rapida
49,Anabel Diaz,"Avenida Tiradentes #173, Bella Vista",2,5,39.07,Tarjeta,5.0,195.35,1,Bella Vista,Rapida
57,Wilson Jimenez,"Avenida Winston Churchill #87, Evaristo Morales",2,4,10.39,Tarjeta,4.0,41.56,0,Evaristo Morales,Rapida
50,Patricia Ortiz,"Avenida Lincoln #87, Piantini",1,3,52.03,Tarjeta,4.0,156.09,0,Piantini,Rapida
1,Luis Garcia,"Avenida Lincoln #187, Piantini",2,1,148.22,Efectivo,4.0,148.22,0,Piantini,Rapida
27,Ana Rodriguez,"Calle Duarte #177, Evaristo Morales",1,5,112.2,Tarjeta,4.0,561.0,1,Evaristo Morales,Rapida
55,Ramon Martinez,"Calle Beller #172, Evaristo Morales",3,4,41.64,Tarjeta,6.0,166.56,1,Evaristo Morales,Normal
51,Esperanza Sanchez,"Avenida Tiradentes #164, Los Prados",3,4,15.21,Tarjeta,21.0,60.84,0,Los Prados,Lenta
